method,window,coverage,mean_selective_risk
ldsr_variance_k5,1,0.1,0.006849958234420433
ldsr_variance_k5,1,0.2,0.007492690404889358
ldsr_variance_k5,1,0.3,0.00799561041456603
ldsr_variance_k5,1,0.4,0.008448075829153374
ldsr_variance_k5,1,0.5,0.00888213749191538
ldsr_variance_k5,1,0.6,0.009318165955435703
ldsr_variance_k5,1,0.7,0.009779784563706453
ldsr_variance_k5,1,0.8,0.01029626204645538
ldsr_variance_k5,1,0.9,0.010932265312418735
ldsr_variance_k5,1,1.0,0.012201022338851428
lr_reprojection_l1,1,0.1,0.008580768420444317
lr_reprojection_l1,1,0.2,0.008857795793712873
lr_reprojection_l1,1,0.3,0.00909832183874529
lr_reprojection_l1,1,0.4,0.009345272949281103
lr_reprojection_l1,1,0.5,0.009604463359778588
lr_reprojection_l1,1,0.6,0.009888088467733844
lr_reprojection_l1,1,0.7,0.010216587937013124
lr_reprojection_l1,1,0.8,0.010607590208039074
lr_reprojection_l1,1,0.9,0.011122090305058922
lr_reprojection_l1,1,1.0,0.012201022338851428
random_analytic,1,0.1,0.012201022338851428
random_analytic,1,0.2,0.012201022338851428
random_analytic,1,0.3,0.012201022338851428
random_analytic,1,0.4,0.012201022338851428
random_analytic,1,0.5,0.012201022338851428
random_analytic,1,0.6,0.012201022338851428
random_analytic,1,0.7,0.012201022338851428
random_analytic,1,0.8,0.012201022338851428
random_analytic,1,0.9,0.012201022338851428
random_analytic,1,1.0,0.012201022338851428
three_model_disagreement,1,0.1,0.007101951090818511
three_model_disagreement,1,0.2,0.007646273935167394
three_model_disagreement,1,0.3,0.00808664164680912
three_model_disagreement,1,0.4,0.008492386027550338
three_model_disagreement,1,0.5,0.008889467376262677
three_model_disagreement,1,0.6,0.009299312732136434
three_model_disagreement,1,0.7,0.009743388191451189
three_model_disagreement,1,0.8,0.010249058717963312
three_model_disagreement,1,0.9,0.010886690365169965
three_model_disagreement,1,1.0,0.012201022338851428
ldsr_variance_k5,9,0.1,0.007279093767298864
ldsr_variance_k5,9,0.2,0.007940237961562553
ldsr_variance_k5,9,0.3,0.00844530841078532
ldsr_variance_k5,9,0.4,0.008888298998852932
ldsr_variance_k5,9,0.5,0.009305328185892569
ldsr_variance_k5,9,0.6,0.00971977699405816
ldsr_variance_k5,9,0.7,0.010151265144520692
ldsr_variance_k5,9,0.8,0.01062278906218539
ldsr_variance_k5,9,0.9,0.011188292312696382
ldsr_variance_k5,9,1.0,0.012196119668383073
lr_reprojection_l1,9,0.1,0.00884543202610049
lr_reprojection_l1,9,0.2,0.00910636132767164
lr_reprojection_l1,9,0.3,0.009333817716255645
lr_reprojection_l1,9,0.4,0.009566468789406665
lr_reprojection_l1,9,0.5,0.009810919804128808
lr_reprojection_l1,9,0.6,0.010076957232729231
lr_reprojection_l1,9,0.7,0.01038316240975045
lr_reprojection_l1,9,0.8,0.010747113617428963
lr_reprojection_l1,9,0.9,0.011221737483941402
lr_reprojection_l1,9,1.0,0.012196119668383073
random_analytic,9,0.1,0.012196119668383073
random_analytic,9,0.2,0.012196119668383073
random_analytic,9,0.3,0.012196119668383073
random_analytic,9,0.4,0.012196119668383073
random_analytic,9,0.5,0.012196119668383073
random_analytic,9,0.6,0.012196119668383073
random_analytic,9,0.7,0.012196119668383073
random_analytic,9,0.8,0.012196119668383073
random_analytic,9,0.9,0.012196119668383073
random_analytic,9,1.0,0.012196119668383073
three_model_disagreement,9,0.1,0.00761662417915518
three_model_disagreement,9,0.2,0.008162799692232497
three_model_disagreement,9,0.3,0.008598682683094968
three_model_disagreement,9,0.4,0.008993627852483857
three_model_disagreement,9,0.5,0.009373948887176223
three_model_disagreement,9,0.6,0.009759590319008185
three_model_disagreement,9,0.7,0.010168248388725199
three_model_disagreement,9,0.8,0.010625032440593454
three_model_disagreement,9,0.9,0.011181130579565823
three_model_disagreement,9,1.0,0.012196119668383073
