subset,window,method,planned,valid,missing,coverage,mean_risk
spain_crops,R1,lr,28,28,0,0.1,0.0073917527716511455
spain_crops,R1,lr,28,28,0,0.2,0.0075772849722433675
spain_crops,R1,lr,28,28,0,0.3,0.00773356896969818
spain_crops,R1,lr,28,28,0,0.4,0.007901568347489852
spain_crops,R1,lr,28,28,0,0.5,0.00809846003741588
spain_crops,R1,lr,28,28,0,0.6,0.008324554194464952
spain_crops,R1,lr,28,28,0,0.7,0.00859673034205256
spain_crops,R1,lr,28,28,0,0.8,0.008940999875344482
spain_crops,R1,lr,28,28,0,0.9,0.009421802445231761
spain_crops,R1,lr,28,28,0,1.0,0.010326973725348144
spain_crops,R1,three_model,28,28,0,0.1,0.006079254496491303
spain_crops,R1,three_model,28,28,0,0.2,0.006409472712161737
spain_crops,R1,three_model,28,28,0,0.3,0.00670173141344168
spain_crops,R1,three_model,28,28,0,0.4,0.007004260478893499
spain_crops,R1,three_model,28,28,0,0.5,0.007323864055188833
spain_crops,R1,three_model,28,28,0,0.6,0.00767380627697552
spain_crops,R1,three_model,28,28,0,0.7,0.008076791020622986
spain_crops,R1,three_model,28,28,0,0.8,0.00855839662960157
spain_crops,R1,three_model,28,28,0,0.9,0.00917925943028028
spain_crops,R1,three_model,28,28,0,1.0,0.010326973725348144
spain_crops,R1,k5,28,28,0,0.1,0.005940869708158039
spain_crops,R1,k5,28,28,0,0.2,0.006352250679175995
spain_crops,R1,k5,28,28,0,0.3,0.006718711484514766
spain_crops,R1,k5,28,28,0,0.4,0.007069812448331706
spain_crops,R1,k5,28,28,0,0.5,0.0074296033460794515
spain_crops,R1,k5,28,28,0,0.6,0.007805747468102041
spain_crops,R1,k5,28,28,0,0.7,0.008213235663093925
spain_crops,R1,k5,28,28,0,0.8,0.008681921426015964
spain_crops,R1,k5,28,28,0,0.9,0.009274338178473614
spain_crops,R1,k5,28,28,0,1.0,0.010326973725348144
spain_crops,R1,neighborhood,28,28,0,0.1,0.005382970911530016
spain_crops,R1,neighborhood,28,28,0,0.2,0.005890245988068766
spain_crops,R1,neighborhood,28,28,0,0.3,0.006301405063675098
spain_crops,R1,neighborhood,28,28,0,0.4,0.006684234114468099
spain_crops,R1,neighborhood,28,28,0,0.5,0.007071451883974852
spain_crops,R1,neighborhood,28,28,0,0.6,0.007476209777611227
spain_crops,R1,neighborhood,28,28,0,0.7,0.007920050226313891
spain_crops,R1,neighborhood,28,28,0,0.8,0.008446093757470218
spain_crops,R1,neighborhood,28,28,0,0.9,0.009137374087274103
spain_crops,R1,neighborhood,28,28,0,1.0,0.010326973725348144
spain_crops,R1,random,28,28,0,0.1,0.010326973725348144
spain_crops,R1,random,28,28,0,0.2,0.010326973725348144
spain_crops,R1,random,28,28,0,0.3,0.010326973725348144
spain_crops,R1,random,28,28,0,0.4,0.010326973725348144
spain_crops,R1,random,28,28,0,0.5,0.010326973725348144
spain_crops,R1,random,28,28,0,0.6,0.010326973725348144
spain_crops,R1,random,28,28,0,0.7,0.010326973725348144
spain_crops,R1,random,28,28,0,0.8,0.010326973725348144
spain_crops,R1,random,28,28,0,0.9,0.010326973725348144
spain_crops,R1,random,28,28,0,1.0,0.010326973725348144
spain_crops,R9,lr,28,28,0,0.1,0.0077197052528612375
spain_crops,R9,lr,28,28,0,0.2,0.00788504599172243
spain_crops,R9,lr,28,28,0,0.3,0.008027379372784502
spain_crops,R9,lr,28,28,0,0.4,0.008180236573599151
spain_crops,R9,lr,28,28,0,0.5,0.008355146111751015
spain_crops,R9,lr,28,28,0,0.6,0.00856221050658553
spain_crops,R9,lr,28,28,0,0.7,0.008808158732086898
spain_crops,R9,lr,28,28,0,0.8,0.009120941733996867
spain_crops,R9,lr,28,28,0,0.9,0.009544024324295195
spain_crops,R9,lr,28,28,0,1.0,0.010318607423487655
spain_crops,R9,three_model,28,28,0,0.1,0.006838989753677134
spain_crops,R9,three_model,28,28,0,0.2,0.00713358333207821
spain_crops,R9,three_model,28,28,0,0.3,0.007398669033206034
spain_crops,R9,three_model,28,28,0,0.4,0.007666590430829271
spain_crops,R9,three_model,28,28,0,0.5,0.007951165956770057
spain_crops,R9,three_model,28,28,0,0.6,0.008258571501108331
spain_crops,R9,three_model,28,28,0,0.7,0.00860332297825248
spain_crops,R9,three_model,28,28,0,0.8,0.009005932716900502
spain_crops,R9,three_model,28,28,0,0.9,0.009505138579403044
spain_crops,R9,three_model,28,28,0,1.0,0.010318607423487655
spain_crops,R9,k5,28,28,0,0.1,0.006369439322023572
spain_crops,R9,k5,28,28,0,0.2,0.00678414813057973
spain_crops,R9,k5,28,28,0,0.3,0.007142503179768326
spain_crops,R9,k5,28,28,0,0.4,0.007487568099073679
spain_crops,R9,k5,28,28,0,0.5,0.007833891906907081
spain_crops,R9,k5,28,28,0,0.6,0.008191247527728257
spain_crops,R9,k5,28,28,0,0.7,0.008570874006469015
spain_crops,R9,k5,28,28,0,0.8,0.008991669986140304
spain_crops,R9,k5,28,28,0,0.9,0.009503607738067818
spain_crops,R9,k5,28,28,0,1.0,0.010318607423487655
spain_crops,R9,neighborhood,28,28,0,0.1,0.005607097056958896
spain_crops,R9,neighborhood,28,28,0,0.2,0.006130445906626627
spain_crops,R9,neighborhood,28,28,0,0.3,0.006554504926044375
spain_crops,R9,neighborhood,28,28,0,0.4,0.006952518607722035
spain_crops,R9,neighborhood,28,28,0,0.5,0.007350394548681377
spain_crops,R9,neighborhood,28,28,0,0.6,0.007763268562696269
spain_crops,R9,neighborhood,28,28,0,0.7,0.008210750778444749
spain_crops,R9,neighborhood,28,28,0,0.8,0.008725089562153307
spain_crops,R9,neighborhood,28,28,0,0.9,0.009364311192813645
spain_crops,R9,neighborhood,28,28,0,1.0,0.010318607423487655
spain_crops,R9,random,28,28,0,0.1,0.010318607423487655
spain_crops,R9,random,28,28,0,0.2,0.010318607423487655
spain_crops,R9,random,28,28,0,0.3,0.010318607423487655
spain_crops,R9,random,28,28,0,0.4,0.010318607423487655
spain_crops,R9,random,28,28,0,0.5,0.010318607423487655
spain_crops,R9,random,28,28,0,0.6,0.010318607423487655
spain_crops,R9,random,28,28,0,0.7,0.010318607423487655
spain_crops,R9,random,28,28,0,0.8,0.010318607423487655
spain_crops,R9,random,28,28,0,0.9,0.010318607423487655
spain_crops,R9,random,28,28,0,1.0,0.010318607423487655
spain_urban,R1,lr,20,20,0,0.1,0.010406946709456799
spain_urban,R1,lr,20,20,0,0.2,0.010829381044767623
spain_urban,R1,lr,20,20,0,0.3,0.011324639037439167
spain_urban,R1,lr,20,20,0,0.4,0.011845703719311481
spain_urban,R1,lr,20,20,0,0.5,0.012403394321163667
spain_urban,R1,lr,20,20,0,0.6,0.01295712084569452
spain_urban,R1,lr,20,20,0,0.7,0.013577400106834975
spain_urban,R1,lr,20,20,0,0.8,0.014296185699178721
spain_urban,R1,lr,20,20,0,0.9,0.015219657370094192
spain_urban,R1,lr,20,20,0,1.0,0.016807584530800758
spain_urban,R1,three_model,20,20,0,0.1,0.007578681614672701
spain_urban,R1,three_model,20,20,0,0.2,0.008479125015355717
spain_urban,R1,three_model,20,20,0,0.3,0.009316012449842929
spain_urban,R1,three_model,20,20,0,0.4,0.010134873144694129
spain_urban,R1,three_model,20,20,0,0.5,0.010946286389067857
spain_urban,R1,three_model,20,20,0,0.6,0.011785075050534357
spain_urban,R1,three_model,20,20,0,0.7,0.012667601711554389
spain_urban,R1,three_model,20,20,0,0.8,0.013638793323845908
spain_urban,R1,three_model,20,20,0,0.9,0.014793914552246656
spain_urban,R1,three_model,20,20,0,1.0,0.016807584530800758
spain_urban,R1,k5,20,20,0,0.1,0.007218979774208168
spain_urban,R1,k5,20,20,0,0.2,0.008264652560411423
