subset,roi,difference
spain_crops,ROI_00001,-0.0001338215574479282
spain_crops,ROI_00002,-0.0007391301346465155
spain_crops,ROI_00003,-0.0005857855273055613
spain_crops,ROI_00004,-0.0009247342153705027
spain_crops,ROI_00005,-3.939011973543016e-05
spain_crops,ROI_00006,-0.000839039701775705
spain_crops,ROI_00007,-0.0009612680973786125
spain_crops,ROI_00008,-0.00039939342556798586
spain_crops,ROI_00010,-0.00012307992123810913
spain_crops,ROI_00011,-0.00019344753109886217
spain_crops,ROI_00012,-0.00021095521807124994
spain_crops,ROI_00013,-0.00016437947232954796
spain_crops,ROI_00014,-1.2748336698953366e-05
spain_crops,ROI_00015,-0.0002984788455087581
spain_crops,ROI_00016,-0.0001407403806615512
spain_crops,ROI_00017,-0.00016040252141628387
spain_crops,ROI_00019,-0.0004919520045523883
spain_crops,ROI_00023,-0.0005248427557701819
spain_crops,ROI_00024,-0.0007063653836307648
spain_crops,ROI_00025,-2.6164525521142623e-05
spain_crops,ROI_00026,-0.000689530552011779
spain_crops,ROI_00027,-0.00052313162119586
spain_crops,ROI_00028,-0.0006842104311736274
spain_crops,ROI_00030,-0.00027779082285914625
spain_crops,ROI_00031,-0.002148548853376715
spain_crops,ROI_00032,-0.0013008885453691943
spain_crops,ROI_00033,-0.0012915348678599493
spain_crops,ROI_00034,-0.0003263609986178216
spain_urban,ROI_00001,-0.0008621689855532935
spain_urban,ROI_00002,-0.0015391545774682807
spain_urban,ROI_00004,-0.0006243421511143172
spain_urban,ROI_00006,-0.001171113637363141
spain_urban,ROI_00007,-0.0014059771014253084
spain_urban,ROI_00009,-0.001627683045409771
spain_urban,ROI_00010,-0.000944505397301329
spain_urban,ROI_00011,-0.0012925172323237089
spain_urban,ROI_00013,-0.0015731589802420905
spain_urban,ROI_00014,-0.001449012583177629
spain_urban,ROI_00026,-0.0014521426835651038
spain_urban,ROI_00027,-0.0014224992570719044
spain_urban,ROI_00028,-0.000666503109545663
spain_urban,ROI_00030,-9.800470695506009e-05
spain_urban,ROI_00031,-8.798836237274704e-05
spain_urban,ROI_00032,-0.00023025329700888508
spain_urban,ROI_00033,-0.001860528472422662
spain_urban,ROI_00034,-0.0012781209237186352
spain_urban,ROI_00035,-0.001398769028085542
spain_urban,ROI_00036,-0.002101950906788292
