subset,window,method,planned,valid,missing,mean_aurc,mean_rho,rho_valid
spain_crops,R1,lr,28,28,0,0.008431369568094033,0.3052976426719782,28
spain_crops,R1,three_model,28,28,0,0.007733381023900555,0.4331746631970165,28
spain_crops,R1,k5,28,28,0,0.007781346412729365,0.38927012946162637,28
spain_crops,R1,neighborhood,28,28,0,0.007463700953573441,0.4448943212352033,28
spain_crops,R1,random,28,28,0,0.010326973725348144,,0
spain_crops,R9,lr,28,28,0,0.008652145602317049,0.45321284993887295,28
spain_crops,R9,three_model,28,28,0,0.008268057170571271,0.5462846575285015,28
spain_crops,R9,k5,28,28,0,0.008119355732024543,0.5794359246363356,28
spain_crops,R9,neighborhood,28,28,0,0.007697698856562894,0.7240883945117942,28
spain_crops,R9,random,28,28,0,0.010318607423487655,,0
spain_urban,R1,lr,20,20,0,0.01296680133847419,0.3756554386886495,20
spain_urban,R1,three_model,20,20,0,0.01161479477826154,0.5148006993365465,20
spain_urban,R1,k5,20,20,0,0.01155928569390254,0.4933317792593412,20
spain_urban,R1,neighborhood,20,20,0,0.011196734658384876,0.5346106530892057,20
spain_urban,R1,random,20,20,0,0.016807584530800758,,0
spain_urban,R9,lr,20,20,0,0.01336636757346229,0.5252663221341458,20
spain_urban,R9,three_model,20,20,0,0.012554037497257853,0.638352172522346,20
spain_urban,R9,k5,20,20,0,0.012212047851516621,0.6860633392012295,20
spain_urban,R9,neighborhood,20,20,0,0.011687158709829167,0.789946694376778,20
spain_urban,R9,random,20,20,0,0.016793639070804188,,0
